42044 	 -48190 	 -31512 	 -32112 	 -31512 	 729 	 3191 	 735 	 -1732
42045 	 -48077 	 -31207 	 -31512 	 -31207 	 729 	 3191 	 735 	 -1732
42046 	 -47879 	 -31207 	 -31504 	 -31207 	 863 	 3410 	 844 	 -1685
42047 	 -47724 	 -30899 	 -31207 	 -30899 	 873 	 3506 	 854 	 -1685
42049 	 -47338 	 -30283 	 -30592 	 -30283 	 872 	 3294 	 853 	 -2127
42051 	 -47034 	 -29664 	 -29975 	 -29664 	 856 	 3207 	 878 	 -2127
42052 	 -46853 	 -29664 	 -29965 	 -29664 	 876 	 3234 	 897 	 -2356
42053 	 -46674 	 -29664 	 -29941 	 -29664 	 847 	 3294 	 870 	 -2356
42054 	 -46490 	 -29041 	 -29664 	 -29041 	 900 	 3546 	 921 	 -2356
42055 	 -46260 	 -28727 	 -29352 	 -28727 	 877 	 3287 	 898 	 -1936
42056 	 -46260 	 -28413 	 -28727 	 -28413 	 877 	 3287 	 898 	 -1936
42057 	 -45906 	 -28413 	 -28718 	 -28413 	 915 	 3214 	 890 	 -1936
42058 	 -45756 	 -28099 	 -28413 	 -28099 	 900 	 3656 	 876 	 -1936
42059 	 -45596 	 -27783 	 -28099 	 -27783 	 948 	 4141 	 922 	 -1936
42061 	 -45161 	 -27149 	 -27467 	 -27149 	 921 	 3948 	 1021 	 -1992
42062 	 -44991 	 -26831 	 -27149 	 -26831 	 880 	 3460 	 981 	 -1992
42063 	 -44852 	 -26511 	 -26831 	 -26511 	 916 	 3832 	 1016 	 -1992
42064 	 -44659 	 -26511 	 -26820 	 -26511 	 946 	 4155 	 1045 	 -2045
42065 	 -44462 	 -25870 	 -26511 	 -25870 	 957 	 4414 	 1131 	 -2045
42066 	 -44207 	 -25547 	 -26190 	 -25547 	 952 	 4148 	 1126 	 -2045
42067 	 -44020 	 -25547 	 -25870 	 -25547 	 980 	 4208 	 1153 	 -2045
42068 	 -43816 	 -24901 	 -25547 	 -24901 	 1050 	 4051 	 1221 	 -1956
42069 	 -43593 	 -24577 	 -25225 	 -24577 	 1047 	 4135 	 1327 	 -1956
42070 	 -43404 	 -24577 	 -24901 	 -24577 	 1045 	 3785 	 1325 	 -1956
42071 	 -43210 	 -24252 	 -24577 	 -24252 	 978 	 3922 	 1260 	 -1956
42073 	 -42756 	 -23599 	 -23926 	 -23599 	 1047 	 3962 	 1278 	 -2410
42074 	 -42561 	 -23271 	 -23599 	 -23271 	 992 	 3500 	 1225 	 -2410
42075 	 -42404 	 -22942 	 -23271 	 -22942 	 1007 	 3746 	 1239 	 -2410
42076 	 -42197 	 -22612 	 -23259 	 -22612 	 1039 	 3752 	 1270 	 -2410
42078 	 -41679 	 -22282 	 -22601 	 -22282 	 1073 	 3513 	 1200 	 -2085
42082 	 -40861 	 -21952 	 -22448 	 -21952 	 1104 	 3566 	 1036 	 -2085
42084 	 -40642 	 -21287 	 -21619 	 -21287 	 1115 	 4115 	 1047 	 -1241
42085 	 -40103 	 -21287 	 -21612 	 -21287 	 1154 	 3300 	 1164 	 -1241
42086 	 -39914 	 -20952 	 -21287 	 -20952 	 1183 	 3513 	 1192 	 -1241
42087 	 -39666 	 -20619 	 -21278 	 -20619 	 1122 	 3054 	 1134 	 -1241
42088 	 -39666 	 -20284 	 -20619 	 -20284 	 1122 	 3054 	 1134 	 -1241
42089 	 -39226 	 -20284 	 -20610 	 -20284 	 1099 	 3403 	 1089 	 -1688
42090 	 -39026 	 -19610 	 -20284 	 -19610 	 1129 	 3579 	 1117 	 -1688
42091 	 -39026 	 -19273 	 -19610 	 -19273 	 1129 	 3579 	 1117 	 -1688
42092 	 -38543 	 -19273 	 -19602 	 -19273 	 1094 	 3343 	 1084 	 -1688
42093 	 -38355 	 -18596 	 -19273 	 -18596 	 1186 	 3596 	 1032 	 -1688
42094 	 -38095 	 -18256 	 -18935 	 -18256 	 1186 	 3596 	 1032 	 -1688
42095 	 -37878 	 -18256 	 -18596 	 -18256 	 1103 	 3124 	 952 	 -1688
42096 	 -37704 	 -17575 	 -18256 	 -17575 	 1101 	 3254 	 950 	 -1600
